mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1261140823364258,0.026471690571630343,0.011883211135864259,0.012014260806888999,2,1,2,50,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.06639259120166119,-0.022795223517666274,-0.019649032648244802,-0.022824730284886074,-0.004990571701308788,-0.027330429870753424,0.02061453370603322,9
0.27129559516906737,0.042550410761707284,0.009934806823730468,0.0015450555169456079,2,1,2,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.060861503687653196,-0.01984058947426437,-0.012605998300796006,-0.021364113387611017,-0.00260033491441658,-0.023454507952948234,0.019845907290418643,5
0.4486542224884033,0.05623203184596833,0.014569520950317383,0.0006524631853525485,2,1,2,200,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.0595262496073119,-0.01717196459244552,-0.013772311875142718,-0.021529498727612006,-0.003362466865721503,-0.02307249833364673,0.019188808909190096,4
0.1251251220703125,0.031015351623545233,0.011437797546386718,0.009788425286789255,2,1,5,50,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.0666099728895202,-0.022872947656804143,-0.019449407557013743,-0.02283991591883683,-0.005075192940809714,-0.027369487392596925,0.02068968254503056,11
0.18575825691223144,0.01896542064205524,0.008934354782104493,0.0015467515568349484,2,1,5,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.06092019658662151,-0.019877359237760128,-0.012510511863996321,-0.0213749821327609,-0.002632400568275406,-0.023463090077882852,0.01987022437433585,6
0.3796712875366211,0.03146376065952034,0.015170669555664063,0.0017011711356451947,2,1,5,200,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.05953325631474349,-0.017093642940504417,-0.013723457722319754,-0.02160461600704533,-0.003378216439692494,-0.023066637884861095,0.019196652785521965,3
0.09410858154296875,0.00914524865538863,0.007535696029663086,0.0033782490900257068,2,2,2,50,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.06634965009906235,-0.022143205607137784,-0.020076572732322218,-0.022748950582861527,-0.005374591458344735,-0.027338594095945724,0.02051864394035533,10
0.16702656745910643,0.005965803997985632,0.00853118896484375,0.001295005891485727,2,2,2,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.06073149797449151,-0.019830815929466672,-0.01287927509538811,-0.020682875816470103,-0.00433188135916418,-0.023691269234996114,0.0194299623878214,7
0.3473185062408447,0.026201379383271918,0.014490699768066407,0.0009098964821407773,2,2,2,200,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.05930510407338807,-0.016411599375537156,-0.013809024070294162,-0.02107173387180672,-0.003662559503692764,-0.022852004178943775,0.01909705183792778,1
0.08913564682006836,0.005992829702606254,0.005840110778808594,0.0008491994329355263,2,2,5,50,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-0.0666099728895202,-0.022219282678801466,-0.020076572732322218,-0.02275800429422392,-0.005459212697845439,-0.02742460905854265,0.020595327802421893,12
0.1873464584350586,0.017720597831833374,0.008995151519775391,0.0009478728454904125,2,2,5,100,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.06086374589284893,-0.01986691041784372,-0.01287927509538811,-0.02069221158097312,-0.004373524567761633,-0.023735133510963104,0.01947037721248847,8
0.3289042949676514,0.006199521330104728,0.013010454177856446,0.00034044584937145857,2,2,5,200,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.05935383597929622,-0.01638749631300951,-0.013809024070294162,-0.021077283003078096,-0.003684008388907367,-0.02286232955091707,0.019112876501289736,2
0.1175835132598877,0.005255316940793937,0.005642414093017578,0.00029594025341244686,4,1,2,50,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.06359373725838391,-0.03997392499463559,-0.03724479852700879,-0.04040054751699307,-0.014856674868887865,-0.039213936633181845,0.015450009784846402,21
0.24003610610961915,0.012289556155723318,0.010646963119506836,0.0028553551028184265,4,1,2,100,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.05938380543248489,-0.037350779804430356,-0.030548064047010604,-0.0349628149963761,-0.007942945935173418,-0.034037682043095076,0.016415670226513763,14
0.46704950332641604,0.03458170741704235,0.014164257049560546,0.0010093411436756434,4,1,2,200,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.061190981278620216,-0.03624513391268169,-0.03011239127043952,-0.0373621581698933,-0.011228635995797154,-0.03522786012548638,0.01601127424377455,20
0.1139493465423584,0.0025445053867834268,0.005596351623535156,0.00031646408706638256,4,1,5,50,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.06255069930228196,-0.04122866191025554,-0.03688096205956737,-0.04074102516019851,-0.014747578802909445,-0.039229785447042566,0.01519894594437976,22
0.2354656219482422,0.01463523190542016,0.009332418441772461,0.0013745148242358272,4,1,5,100,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.059517918307583795,-0.03754090240829355,-0.028815686198699897,-0.0345117962110455,-0.008609982731593746,-0.033799257171443296,0.016341925700745635,13
0.45450196266174314,0.02522672401928802,0.014312219619750977,0.0017630317529461932,4,1,5,200,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.0612418094974867,-0.035245423039253376,-0.028878168637401558,-0.037674789472971426,-0.011834812783589221,-0.034975000686140456,0.01593704420568812,19
